,categories,name,prices,site,url
2389,"['flower', 'sativa']",Golden Cobra,"[['gram', '9.00'], ['28 grams', '190.00']]",greenz.ca,https://greenz.ca/product/golden-cobra/
2393,"['flower', 'hybrid', 'test genetics']",Congo OG,"[['gram', '10.00'], ['28 grams', '210.00']]",greenz.ca,https://greenz.ca/product/congo-og/
2400,"['flower', 'hybrid']",Gorilla Glue,"[['gram', '9.00'], ['28 grams', '190.00']]",greenz.ca,https://greenz.ca/product/gorilla-glue-2/
2416,"['flower', 'hybrid']",Lemon Kush,"[['gram', '11.43'], ['28 grams', '230.00']]",greenz.ca,https://greenz.ca/product/lemon-kush-3/
2417,"['flower', 'hybrid']",Quad Platinum Crush,"[['gram', '12.00'], ['28 grams', '260.00']]",greenz.ca,https://greenz.ca/product/quad-platinum-crush/
2418,"['flower', 'hybrid']",Quad Grease Monkey,"[['gram', '12.00'], ['28 grams', '260.00']]",greenz.ca,https://greenz.ca/product/quad-grease-monkey/
2425,"['*sale*', 'indica']",Pre-rolls (The Quarry) – Pennywise CBD,"[['1 Quarry Pennywise CBD pre-roll', '$6']]",herbaldispatch.com,https://herbaldispatch.com/product/pre-rolls-the-quarry-pennywise-cbd/
2426,"['indica', 'sativa']",Pre-rolls (Shhhhhhh),"[['1 Shhhhhhh pre-roll', '$12'], ['Buy 4 or more', '$10 each']]",herbaldispatch.com,https://herbaldispatch.com/product/pre-rolls-shhhhhhh-multiple-strains/
2427,"['indica', 'sativa']",Pre-rolls (Yubnubs),"[['1 pack of Yubnub Pre-rolls', '$33']]",herbaldispatch.com,https://herbaldispatch.com/product/pre-rolls-yubnubs/
2428,['sativa'],Astroboy (Organic),"[['1 gram', '$10'], ['3.5 grams', '$35'], ['7 grams', '$65'], ['14 grams', '$125'], ['28 grams', '$240']]",herbaldispatch.com,https://herbaldispatch.com/product/astroboy/
2429,['sativa'],Atomic Love Potion,"[['1 gram', '$10'], ['3.5 grams', '$35'], ['7 grams', '$65'], ['14 grams', '$125'], ['28 grams', '$240']]",herbaldispatch.com,https://herbaldispatch.com/product/atomic-love-potion/
2430,['indica'],Black Hammer,"[['1 gram', '$10'], ['3.5 grams', '$35'], ['7 grams', '$65'], ['14 grams', '$125'], ['28 grams', '$240']]",herbaldispatch.com,https://herbaldispatch.com/product/black-hammer/
2431,['indica'],Banana OG,"[['1 gram', '$9'], ['3.5 grams', '$30'], ['7 grams', '$60'], ['14 grams', '$115'], ['28 grams', '$220']]",herbaldispatch.com,https://herbaldispatch.com/product/banana-og/
2432,['sativa'],Blue Dream,"[['1 gram', '$9'], ['3.5 grams', '$30'], ['7 grams', '$60'], ['14 grams', '$115'], ['28 grams', '$220']]",herbaldispatch.com,https://herbaldispatch.com/product/blue-dream-2/
2433,['sativa'],Blue Dream,"[['1 gram', '$9'], ['3.5 grams', '$30'], ['7 grams', '$60'], ['14 grams', '$115'], ['28 grams', '$220']]",herbaldispatch.com,https://herbaldispatch.com/product/blue-dream/
2434,['sativa'],Jillybean,"[['1 gram', '$8'], ['3.5 grams', '$28'], ['7 grams', '$55'], ['14 grams', '$110'], ['28 grams', '$210']]",herbaldispatch.com,https://herbaldispatch.com/product/jillybean/
2435,['sativa'],Burmese,"[['1 gram', '$10'], ['3.5 grams', '$35'], ['7 grams', '$65'], ['14 grams', '$125'], ['28 grams', '$240']]",herbaldispatch.com,https://herbaldispatch.com/product/burmese/
2436,['indica'],CBD Diesel,"[['1 gram', '$9'], ['3.5 grams', '$30'], ['7 grams', '$60'], ['14 grams', '$115'], ['28 grams', '$220']]",herbaldispatch.com,https://herbaldispatch.com/product/cbd-diesel/
2437,['sativa'],CBD Dutch Treat,"[['1 gram', '$9'], ['3.5 grams', '$30'], ['7 grams', '$60'], ['14 grams', '$110'], ['28 grams', '$220']]",herbaldispatch.com,https://herbaldispatch.com/product/cbd-dutch-treat/
2438,['sativa'],CBD Mango Haze,"[['1 gram', '$10'], ['3.5 grams', '$35'], ['7 grams', '$65'], ['14 grams', '$125'], ['28 grams', '$240']]",herbaldispatch.com,https://herbaldispatch.com/product/cbd-mango-haze/
2439,['sativa'],Cheese #1,"[['1 gram', '$9'], ['3.5 grams', '$30'], ['7 grams', '$60'], ['14 grams', '$115'], ['28 grams', '$220']]",herbaldispatch.com,https://herbaldispatch.com/product/cheese-1-2/
2440,['sativa'],Cheese #1,"[['1 gram', '$11'], ['3.5 grams', '$38'], ['7 grams', '$70'], ['14 grams', '$130'], ['28 grams', '$250']]",herbaldispatch.com,https://herbaldispatch.com/product/cheese-1/
2441,['indica'],Chemo,"[['1 gram', '$9'], ['3.5 grams', '$30'], ['7 grams', '$60'], ['14 grams', '$115'], ['28 grams', '$220']]",herbaldispatch.com,https://herbaldispatch.com/product/ubc-chemo-indica/
2442,['sativa'],Citrus Sap,"[['1 gram', '$11'], ['3.5 grams', '$38'], ['7 grams', '$70'], ['14 grams', '$130'], ['28 grams', '$250']]",herbaldispatch.com,https://herbaldispatch.com/product/citrus-sap/
2443,['sativa'],Citrus Skunk,"[['1 gram', '$10'], ['3.5 grams', '$35'], ['7 grams', '$65'], ['14 grams', '$125'], ['28 grams', '$240']]",herbaldispatch.com,https://herbaldispatch.com/product/citrus-skunk/
2444,['sativa'],Cinderella 99,"[['1 gram', '$11'], ['3.5 grams', '$38'], ['7 grams', '$70'], ['14 grams', '$130'], ['28 grams', '$250']]",herbaldispatch.com,https://herbaldispatch.com/product/cinderella-99/
