,categories,name,prices,site,url
794,['hybrid'],Strawberry Banana,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/strawberry-banana-hybrid
795,['sativa'],Pineapple,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/pineapple-sativa-hybrid
796,['hybrid'],Purple Space Cookies,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/purple-space-cookies-hybrid-flower
797,['hybrid'],Bruce Banner,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/bruce-banner-flower
798,['hybrid'],Pink Diablo,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/pink-diablo-hybrid-flower
799,['hybrid'],Wifi White Fire OG,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/wifi-white-fire-og-hybrid-flower
800,['hybrid'],Lemon Sour Diesel,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/lsd-flower
801,['hybrid'],Black Nukem Hybrid,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/black-nukem-hybrid-flower
802,['hybrid'],Snow Blast Hybrid,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/snow-blast-sativa-hybrid-flower
803,['hybrid'],Tuna Timewarp,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/tuna-kush-indica-flower
804,['hybrid'],Monster OG,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/monster-og-indica-hybrid-flower
805,['indica'],G-13 Indica Hybrid,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/g-13-indica-hybrid-flower
806,['hybrid'],Silver Skunk,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/silver-skunk-indica-flower
807,['hybrid'],White Castle Bluesky Organics,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/white-castle-bluesky-organics-flower
808,['hybrid'],Animal Cookies New Batch,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/animal-cookies-hybrid-flower
809,['indica'],San Fransisco OG Kush,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/san-francisco-og-kush-flower
810,['indica'],Northern Lights,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/northern-lights-flower
811,['indica'],Purple People Eaters Indica,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/purple-people-eaters-indica-flower
812,['indica'],Hindu Kush,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/hindu-kush-flower
813,['indica'],Blackberry Kush,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/blackberry-kush-flower
814,['indica'],Crown Royal Kush,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/crown-royale-kush-flower
815,['indica'],Zombie Kush,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/zombie-kush-flower
816,['indica'],Purple Kush,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/purple-kush-indica
817,['indica'],Darth Vader OG Indica,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/darth-vader-og-indica-flower
2866,"['flash deal', 'flowers', 'hybrid', 'indica', 'moon rock', 'moonrock canada', 'packs', 'sativa', 'vendors']",Moon Rock Mix and Match,"[['', '180.00']]",herbapproach.com,https://herbapproach.com/product/moon-rock-mix-and-match/
818,['indica'],Critical Mass Indica 21% THC,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/critical-mass-indica
819,['indica'],LA Confidential Indica,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/la-confidential-strain
820,['indica'],Purple Candy Kush Indica,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Purple-Candy-Kush-indica
821,['indica'],CBD Shark,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/cbd-shark-flower
822,['indica'],Night hawk Indica,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/night-hawk-indica-flower
823,['indica'],Sugar Shack Indica,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/sugar-shack-indica-flower
825,['indica'],Violator Kush,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/violator-kush-flower
826,['indica'],San Andreas OG,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/san-andreas-og-indica
824,['hybrid'],K Bombs Indica Hybrid,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/k-bombs-indica-hybrid-flower
827,['indica'],POG Indica,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/pog-indica-flower
828,['indica'],Black Ice Indica Hybrid,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/black-ice-indica-hybrid-flower
829,['indica'],Blueberry Hashplant Indica Hybrid,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/blueberry-hashplant-indica-hybrid-flower
830,['indica'],MK Ultra Indica,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/mk-ultra-indica-flower
831,['indica'],Zed Indica,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/zed-indica-flower
832,['indica'],Master Kush,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/master-kush-flower
833,['indica'],Super Kush Indica,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/super-kush-indica-flower
834,['indica'],Rolex OG Indica,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/rolex-og-indica-flower
835,['indica'],Blue Cheese Indica Hybrid,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/blue-cheese-indica-hybrid-flower
836,['indica'],Madonna Kush Indica Strain,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/madonna-kush-indica-strain-flower
837,['indica'],Chemo,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/chemo-indica-flower
838,['indica'],Gorilla Glue 4,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/gorilla-glue-4-flower
839,['hybrid'],Purple Haze,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/purple-haze-flower
841,['sativa'],Sour Diesel,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/sour-diesel-flower
840,['sativa'],Citrus Skunk,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/citrus-skunk-flower
842,['sativa'],Jack Frost 23%,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/jack-frost-flower
843,['sativa'],Citrus Haze,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/citrus-haze-sativa-hybrid
844,['sativa'],Jack Herer,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/jack-herer-flower
845,['sativa'],Lemon hash Sativa,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/lemon-hash-sativa-flower
846,['sativa'],Lambs Bread Sativa,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/lamb-s-bread-sativa-flower
847,['sativa'],Moby Dick Sativa,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/moby-dick-sativa-flower
848,['sativa'],Sour Tangerine Sativa,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/sourtangerine-sativa-flower
849,['hybrid'],Grape God Sativa Hybrid,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/grape-god-sativa-hybrid-flower
850,['sativa'],Gods Potion Bluesky Organics,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/god-s-potion-bluesky-organics-flower
851,['hybrid'],K Star Sativa Hybrid,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/k-star-sativa-hybrid-flower
852,['sativa'],Gods Pink Crack Sativa,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/god-s-pink-crack-sativa-flower
853,['sativa'],Gods Green Gift Sativa Hybrid,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/god-s-green-gift-sativa-hybrid-flower
3190,['sativa strains'],Quarter Pound Mix and Match 28g x 4 (On sale from $620/QP to $560/QP),"[['', '560.00']]",jjmeds.com,https://jjmeds.com/product/quarter-pound-mix-and-match-on-sale-from-620-qp-to-560-qp/
3251,['sativa strains'],Mix and Match Oz (On sale from $240/oz to $160/oz),"[['', '160.00']]",jjmeds.com,https://jjmeds.com/product/mix-and-match-oz/
3252,['sativa strains'],Mix and Match AAAA Oz (On sale from $300/oz to $270/oz),"[['', '270.00']]",jjmeds.com,https://jjmeds.com/product/mix-and-match-aaaa-oz-on-sale-from-300-oz-to-280-oz/
3255,['sativa strains'],Quarter Pound AAAA Mix and Match (On sale from $860/QP to $760/QP),"[['', '760.00']]",jjmeds.com,https://jjmeds.com/product/quarter-pound-aaaa-mix-and-match-on-sale-from-860-qp-to-760-qp/
3258,['hybrid strains'],McGrupp,"[['', '165.00']]",jjmeds.com,https://jjmeds.com/product/mcgrupp-28g/
3275,['ounce deals flower'],NORTHERN SOUL – INDICA – (AA) – (GREEN HOUSE GROWN),"[['', '89.00']]",kingtuts.ca,https://www.kingtuts.ca/product/northern-soul-indica-aa-green-house-grown/
3277,['ounce deals flower'],MASTER KUSH (SMALLS) – INDICA – (AAA),"[['', '99.00']]",kingtuts.ca,https://www.kingtuts.ca/product/master-kush-smalls-indica-aaa/
3288,['indica'],PINE TAR KUSH – INDICA – (AAA) – BULK,"[['', 'out of stock']]",kingtuts.ca,https://www.kingtuts.ca/product/pine-tar-kush-indica-aaa-bulk/
3289,['indica'],GREASE MONKEY- INDICA – (AAAA),"[['', 'out of stock']]",kingtuts.ca,https://www.kingtuts.ca/product/grease-monkey-indica-aaaa/
