,categories,name,prices,site,url
136,['shatter'],ROS ORGANICS Shatter – Critical Kush (Indica),"[['', '40']]",budexpressnow.ca,https://www.budexpressnow.ca/product/ros-organics-shatter-critical-kush-indica/
137,['shatter'],ROS ORGANICS Shatter -Rockstar (Indica),"[['', '40']]",budexpressnow.ca,https://www.budexpressnow.ca/product/ros-organics-shatter-rockstar-indica/
138,['accessories'],V12 MINI – TWISTY BLUNT BUBBLER KIT,"[['', '38.00']]",budexpressnow.ca,https://www.budexpressnow.ca/product/v12-mini-twisty-blunt-bubbler-kit/
139,['accessories'],4 Layer PVC Storage Hand Grinder – Red,"[['', '8.00']]",budexpressnow.ca,https://www.budexpressnow.ca/product/4-layer-pvc-storage-hand-grinder-red/
140,['vapes'],DISTIL8 REFILL POD – Durban Poison,"[['', '60']]",budexpressnow.ca,https://www.budexpressnow.ca/product/distil8-refill-pod-durban-poison/
141,['vapes'],DISTIL8 REFILL POD – Green Crack,"[['', '60']]",budexpressnow.ca,https://www.budexpressnow.ca/product/distil8-refill-pod-green-crack/
142,['vapes'],DISTIL8 REFILL POD – Master Kush (Indica),"[['', '60']]",budexpressnow.ca,https://www.budexpressnow.ca/product/distil8-refill-pod-master-kush-indica/
143,['shatter'],ROS ORGANICS Shatter – Headband (Hybrid),"[['', '40']]",budexpressnow.ca,https://www.budexpressnow.ca/product/ros-organics-shatter-headband-hybrid/
145,['vapes'],DISTIL8 REFILL POD – Rockstar,"[['', '60']]",budexpressnow.ca,https://www.budexpressnow.ca/product/distil8-refill-pod-rockstar/
146,['vapes'],DISTIL8 REFILL POD – Gorilla Glue,"[['', '60']]",budexpressnow.ca,https://www.budexpressnow.ca/product/distil8-refill-pod-gorilla-glue/
147,['vapes'],DISTIL8 REFILL POD – Blue Dream,"[['', '60']]",budexpressnow.ca,https://www.budexpressnow.ca/product/distil8-refill-pod-blue-dream/
148,['vapes'],BLOOM CO2 Oil REFILL POD – DURBAN POISON (Sativa),"[['', '60']]",budexpressnow.ca,https://www.budexpressnow.ca/product/bloom-co2-oil-vape-kit-sour-og-hybrid-copy/
151,['accessories'],4 Layer PVC Storage Hand Grinder – Orange,"[['', '8.00']]",budexpressnow.ca,https://www.budexpressnow.ca/product/4-layer-pvc-storage-hand-grinder-orange/
152,['e-juice'],QNTM Clouds GOLD Edition – THC Infused E-Juice – Blue Raspberry- 1000mg,"[['', '79']]",budexpressnow.ca,https://www.budexpressnow.ca/product/qntm-clouds-gold-edition-thc-infused-e-juice-blue-raspberry-1000mg/
153,['vapes'],BLOOM/EVERGREEN EXTRACTS REFILL POD – OG Kush (Indica),"[['', '60']]",budexpressnow.ca,https://www.budexpressnow.ca/product/bloom-evergreen-extracts-refill-pod-og-kush-indica/
154,['tinctures / topicals'],Massage Oil – Miss Envy,"[['', '45']]",budexpressnow.ca,https://www.budexpressnow.ca/product/massage-oil-miss-envy/
155,['accessories'],Butane Torch,"[['', '30.00']]",budexpressnow.ca,https://www.budexpressnow.ca/product/butane-torch/
158,['vapes'],BLOOM/EVERGREEN EXTRACTS REFILL POD – GRAND DADDY PURPLE (Indica),"[['', '60']]",budexpressnow.ca,https://www.budexpressnow.ca/product/bloom-evergreen-extracts-refill-pod-grand-daddy-purple-indica/
161,['e-juice'],QNTM Clouds GOLD Edition – THC Infused E-Juice – Mint- 1000mg,"[['', '79']]",budexpressnow.ca,https://www.budexpressnow.ca/product/qntm-clouds-gold-edition-thc-infused-e-juice-mint-1000mg/
162,['accessories'],Triton T3 Digital Scale – 0.01g,"[['', '40.00']]",budexpressnow.ca,https://www.budexpressnow.ca/product/triton-t3-digital-scale-0-01g/
164,['e-juice'],QNTM Clouds GOLD Edition – THC Infused E-Juice – Peach- 1000mg,"[['', '79']]",budexpressnow.ca,https://www.budexpressnow.ca/product/qntm-clouds-gold-edition-thc-infused-e-juice-peach-1000mg/
168,['vapes'],BLOOM/EVERGREEN EXTRACTS REFILL POD – STRAWNANA (Indica),"[['', '60']]",budexpressnow.ca,https://www.budexpressnow.ca/product/bloom-evergreen-extracts-refill-pod-strawnana-indica/
174,['e-juice'],QNTM Clouds GOLD Edition – THC Infused E-Juice – Strawberry – 1000mg,"[['', '79']]",budexpressnow.ca,https://www.budexpressnow.ca/product/qntm-clouds-gold-edition-thc-infused-e-juice-strawberry-1000mg/
178,['e-juice'],QNTM Clouds GOLD Edition – THC Infused E-Juice – Watermelon- 1000mg,"[['', '79']]",budexpressnow.ca,https://www.budexpressnow.ca/product/qntm-clouds-gold-edition-thc-infused-e-juice-watermelon-1000mg/
183,['edibles'],Halloween Exclusive! Ed & Bills – Pumpkins (200mg),"[['', '30']]",budexpressnow.ca,https://www.budexpressnow.ca/product/halloween-exclusive-ed-bills-pumpkins-200mg/
184,['e-juice'],QNTM Clouds GOLD Edition – THC Infused E-Juice – Grape – 1000mg,"[['', '79']]",budexpressnow.ca,https://www.budexpressnow.ca/product/qntm-clouds-gold-edition-thc-infused-e-juice-grape-1000mg/
199,['e-juice'],QNTM Clouds GOLD Edition – THC Infused E-Juice – Tangerine – 1000mg,"[['', '79']]",budexpressnow.ca,https://www.budexpressnow.ca/product/qntm-clouds-gold-edition-thc-infused-e-juice-tangerine-1000mg/
203,['accessories'],(A) Boveda Packs – 67 Grams,"[['', '70.00']]",bulkweedinbox.com,https://bulkweedinbox.com/product/a-boveda-packs-67-grams/
209,['thc vape pens'],A Vape Pen Batteries,"[['', '10.00']]",bulkweedinbox.com,https://bulkweedinbox.com/product/vape-pen-batteries/
215,"['diamonds, sauce & live resin']",Alaskan Thunder Fuck Terp Sauce,"[['', '50.00']]",bulkweedinbox.com,https://bulkweedinbox.com/product/alaskan-thunder-fuck-terp-sauce/
216,['thc vape pens'],Amnesia Haze THC Vape Cartridges,"[['', '60.00']]",bulkweedinbox.com,https://bulkweedinbox.com/product/sativa-amnesia-haze-thc-vape-cartridges-1-2ml/
217,['thc vape pens'],Animal Cookie THC Vape Cartridges (Hybrid),"[['', '60.00']]",bulkweedinbox.com,https://bulkweedinbox.com/product/hybrid-animal-cookie-thc-vape-cartridges-1-2ml/
